ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,type total
19620.636363636364,134.1818181818182,134.1818181818182,134.1818181818182,152196.2909090909,152293.46363636365,152529.68181818182,152547.21818181817,152578.1,152578.1,1690928241.0,-0.2922127272727273,0.0,0.0,0.0,0.0,0.0,total
21210.8,88.8,88.8,88.8,164640.48,164685.15,165101.22,165133.94,165139.38999999998,165139.38999999998,1690928242.0,-0.288146,0.0,0.0,0.0,0.0,0.0,total
21300.4,89.6,89.6,89.6,165509.28,165565.51,165887.25,165942.2,165956.87,165956.87,1690928243.0,-0.287308,0.0,0.0,0.0,0.0,0.0,total
21392.7,92.3,92.3,92.3,166372.16,166431.25,166741.21000000002,166805.81,166849.41999999998,166849.41999999998,1690928244.0,-0.288721,0.0,0.0,0.0,0.0,0.0,total
21516.1,123.4,123.4,123.4,167060.34,167091.01,167410.61000000002,167510.43,167537.68,167537.68,1690928245.0,-0.28617,0.0,0.0,0.0,0.0,0.0,total
21617.9,101.8,101.8,101.8,167951.47,168040.18,168288.5,168361.88,168417.66,168417.66,1690928246.0,-0.285593,0.0,0.0,0.0,0.0,0.0,total
23824.666666666668,162.33333333333334,162.33333333333334,162.33333333333334,184382.35555555555,184427.74444444443,184739.04444444444,184790.76666666666,184791.7,184791.7,1690928247.0,-0.24520666666666666,0.0,0.0,0.0,0.0,0.0,total
23948.11111111111,123.44444444444444,123.44444444444444,123.44444444444444,185103.01111111112,185197.15555555554,185471.1888888889,185473.04444444444,185491.6888888889,185491.6888888889,1690928248.0,-0.24414222222222223,0.0,0.0,0.0,0.0,0.0,total
24068.333333333332,120.22222222222223,120.22222222222223,120.22222222222223,185867.17777777778,185961.46666666667,186226.15555555554,186281.14444444445,186316.56666666668,186316.56666666668,1690928249.0,-0.24379666666666663,0.0,0.0,0.0,0.0,0.0,total
21765.1,103.6,103.6,103.6,168104.44,168146.88,168468.31,168502.59,168503.01,168503.01,1690928250.0,-0.289653,0.0,0.0,0.0,0.0,0.0,total
21884.9,119.8,119.8,119.8,168835.87,168877.57,169213.32,169273.5,169303.7,169303.7,1690928251.0,-0.28504399999999996,0.0,0.0,0.0,0.0,0.0,total
20011.545454545456,116.18181818181819,116.18181818181819,116.18181818181819,154373.86363636365,154419.21818181817,154715.0909090909,154749.5909090909,154800.11818181816,154800.11818181816,1690928252.0,-0.3239018181818182,0.0,0.0,0.0,0.0,0.0,total
