pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,type total
32.04761904761905,32.04761904761905,122.94761904761906,64.87142857142857,428.5809523809524,687.4761904761905,704.6666666666666,704.6666666666666,1691056825.0,0.0835347619047619,0.0,0.0,0.0,0.0,0.0,total
36.0,36.0,120.62380952380951,63.36666666666667,448.1,637.8380952380952,644.9666666666666,644.9666666666666,1691056826.0,-0.05202523809523804,0.0,0.0,0.0,0.0,0.0,total
35.333333333333336,35.333333333333336,130.32857142857142,65.62380952380953,514.6714285714286,680.9761904761905,680.9761904761905,680.9761904761905,1691056827.0,-0.1959171428571429,0.0,0.0,0.0,0.0,0.0,total
34.42857142857143,34.42857142857143,128.1,64.61428571428571,518.0285714285715,772.3428571428572,772.3428571428572,772.3428571428572,1691056828.0,-0.3147709523809524,0.0,0.0,0.0,0.0,0.0,total
40.80952380952381,40.80952380952381,106.35714285714286,60.36666666666667,389.2857142857143,572.5190476190476,586.4380952380952,586.4380952380952,1691056829.0,-0.8709309523809525,0.0,0.0,0.0,0.0,0.0,total
30.785714285714285,30.785714285714285,133.25,68.36428571428571,497.95,617.4428571428572,617.4428571428572,617.4428571428572,1691056830.0,-0.4637071428571428,0.0,0.0,0.0,0.0,0.0,total
21.0,21.0,137.9,99.4,400.0,499.6,499.6,499.6,1691056947.0,0.86603,0.0,0.0,0.0,0.0,0.0,total
40.0,40.0,104.3,99.4,196.6,597.2,597.2,597.2,1691056948.0,0.61833,0.0,0.0,0.0,0.0,0.0,total
30.0,30.0,133.4,98.6,497.8,595.6,595.6,595.6,1691056949.0,0.44972,0.0,0.0,0.0,0.0,0.0,total
20.0,20.0,174.4,100.5,504.4,697.3,697.3,697.3,1691056950.0,0.35818,0.0,0.0,0.0,0.0,0.0,total
44.0,44.0,104.2,98.9,102.6,704.1,704.1,704.1,1691056951.0,0.33253,0.0,0.0,0.0,0.0,0.0,total
51.0,51.0,76.5,97.7,105.9,111.2,192.3,192.3,1691056952.0,0.29052,0.0,0.0,0.0,0.0,0.0,total
10.0,10.0,126.75,101.4,223.35,274.85,274.85,274.85,1691056953.0,0.49233499999999997,0.0,0.0,0.0,0.0,0.0,total
26.0,26.0,153.2,84.85,816.05,816.75,816.75,816.75,1691056954.0,0.8552500000000001,0.0,0.0,0.0,0.0,0.0,total
21.5,21.5,116.44999999999999,99.75,201.39999999999998,298.8,298.8,298.8,1691056955.0,0.701935,0.0,0.0,0.0,0.0,0.0,total
20.5,20.5,150.7,97.94999999999999,656.0500000000001,803.9,803.9,803.9,1691056956.0,-691.04218,0.0,0.0,0.0,0.0,0.0,total
27.5,27.5,190.35,98.65,845.0,904.8000000000001,904.8000000000001,904.8000000000001,1691056957.0,1.51027,0.0,0.0,0.0,0.0,0.0,total
38.0,38.0,96.65,98.35,181.65,348.25,348.25,348.25,1691056958.0,0.916155,0.0,0.0,0.0,0.0,0.0,total
40.5,40.5,106.9,97.75,295.45,444.45,444.45,444.45,1691056959.0,0.6946049999999999,0.0,0.0,0.0,0.0,0.0,total
51.5,51.5,85.75,86.9,251.70000000000002,350.95000000000005,351.35,351.35,1691056960.0,0.55716,0.0,0.0,0.0,0.0,0.0,total
49.5,49.5,77.9,69.65,170.85000000000002,225.45,233.9,233.9,1691056961.0,0.48444,0.0,0.0,0.0,0.0,0.0,total
23.666666666666668,23.666666666666668,97.46666666666665,81.63333333333334,257.03333333333336,310.9,316.5,316.5,1691056962.0,0.5291433333333334,0.0,0.0,0.0,0.0,0.0,total
31.0,31.0,133.4,95.33333333333333,483.53333333333336,630.1,630.1,630.1,1691056963.0,-24.10401333333333,0.0,0.0,0.0,0.0,0.0,total
34.333333333333336,34.333333333333336,132.03333333333333,92.2,400.93333333333334,691.6333333333332,691.6333333333332,691.6333333333332,1691056964.0,2.4838,0.0,0.0,0.0,0.0,0.0,total
30.333333333333332,30.333333333333332,186.86666666666667,99.2,534.8333333333334,536.8333333333334,634.8333333333334,634.8333333333334,1691056965.0,1.6212833333333332,0.0,0.0,0.0,0.0,0.0,total
26.0,26.0,112.675,68.525,371.675,459.4,459.4,459.4,1691056966.0,0.8623125,0.0,0.0,0.0,0.0,0.0,total
23.75,23.75,194.6,91.525,646.825,722.6,722.6,722.6,1691056967.0,0.8945475,0.0,0.0,0.0,0.0,0.0,total
34.0,34.0,130.425,87.175,414.75,621.075,621.075,621.075,1691056968.0,26.054900000000004,0.0,0.0,0.0,0.0,0.0,total
45.0,45.0,88.575,79.5,225.125,441.175,441.55,441.55,1691056969.0,21.812245000000004,0.0,0.0,0.0,0.0,0.0,total
38.75,38.75,105.1,93.625,287.2,426.075,426.075,426.075,1691056970.0,19.4382825,0.0,0.0,0.0,0.0,0.0,total
38.25,38.25,108.225,98.95,318.525,419.07500000000005,419.07500000000005,419.07500000000005,1691056971.0,18.289604999999998,0.0,0.0,0.0,0.0,0.0,total
39.75,39.75,100.625,98.5,225.75,475.4,475.4,475.4,1691056972.0,16.663490000000003,0.0,0.0,0.0,0.0,0.0,total
40.75,40.75,100.675,87.875,249.7,419.825,419.825,419.825,1691056973.0,15.650905,0.0,0.0,0.0,0.0,0.0,total
30.833333333333332,30.833333333333332,114.81666666666668,88.10000000000001,296.15000000000003,359.8333333333333,359.8333333333333,359.8333333333333,1691056974.0,10.046475000000001,0.0,0.0,0.0,0.0,0.0,total
40.166666666666664,40.166666666666664,116.5,83.39999999999999,309.95,420.25,455.1666666666667,455.1666666666667,1691056975.0,9.436525000000001,0.0,0.0,0.0,0.0,0.0,total
45.333333333333336,45.333333333333336,96.14999999999999,69.7,332.1333333333333,445.1666666666667,474.98333333333335,474.98333333333335,1691056976.0,8.827771666666667,0.0,0.0,0.0,0.0,0.0,total
45.333333333333336,45.333333333333336,110.28333333333335,86.43333333333334,390.3333333333333,477.98333333333335,501.2666666666667,501.2666666666667,1691056977.0,8.287953333333332,0.0,0.0,0.0,0.0,0.0,total
42.833333333333336,42.833333333333336,94.3,79.48333333333333,214.76666666666665,432.95,479.1333333333334,479.1333333333334,1691056978.0,7.8877033333333335,0.0,0.0,0.0,0.0,0.0,total
40.833333333333336,40.833333333333336,107.25,78.93333333333334,293.76666666666665,495.81666666666666,510.8,510.8,1691056979.0,7.490123333333333,0.0,0.0,0.0,0.0,0.0,total
39.875,39.875,102.875,89.6125,293.4,404.9,404.9375,404.9375,1691056980.0,5.58270125,0.0,0.0,0.0,0.0,0.0,total
27.2,27.2,122.88,91.41999999999999,388.93,473.73,473.73,473.73,1691056981.0,4.312799,0.0,0.0,0.0,0.0,0.0,total
31.9,31.9,144.73,86.72,419.51000000000005,584.58,634.79,634.79,1691056982.0,3.8141550000000004,0.0,0.0,0.0,0.0,0.0,total
32.5,32.5,133.53,78.53,506.0,645.1600000000001,654.86,654.86,1691056983.0,4.657613,0.0,0.0,0.0,0.0,0.0,total
34.45454545454545,34.45454545454545,110.98181818181818,77.43636363636364,338.1272727272727,506.8454545454546,510.87272727272733,510.87272727272733,1691056984.0,2.492293636363636,0.0,0.0,0.0,0.0,0.0,total
36.36363636363637,36.36363636363637,122.95454545454545,80.12727272727273,442.60909090909087,587.4636363636364,587.4636363636364,587.4636363636364,1691056985.0,3.422198181818182,0.0,0.0,0.0,0.0,0.0,total
40.27272727272727,40.27272727272727,96.17272727272729,69.7090909090909,344.70909090909095,521.0181818181818,521.0181818181818,521.0181818181818,1691056986.0,3.2304763636363636,0.0,0.0,0.0,0.0,0.0,total
30.545454545454547,30.545454545454547,132.6818181818182,71.80909090909091,418.5545454545454,583.9090909090909,585.4363636363637,585.4363636363637,1691056987.0,3.0803318181818184,0.0,0.0,0.0,0.0,0.0,total
27.636363636363637,27.636363636363637,178.60909090909092,75.25454545454546,643.7181818181818,754.4909090909091,799.9636363636364,799.9636363636364,1691056988.0,2.9399100000000002,0.0,0.0,0.0,0.0,0.0,total
32.54545454545455,32.54545454545455,141.46363636363637,70.18181818181819,484.93636363636364,649.1909090909091,649.1909090909091,649.1909090909091,1691056989.0,2.766438181818182,0.0,0.0,0.0,0.0,0.0,total
34.18181818181818,34.18181818181818,130.0909090909091,58.10909090909092,521.0363636363636,708.9818181818182,711.5545454545455,711.5545454545455,1691056990.0,2.7392445454545453,0.0,0.0,0.0,0.0,0.0,total
27.454545454545453,27.454545454545453,186.1727272727273,71.85454545454546,686.5,790.8545454545455,790.8545454545455,790.8545454545455,1691056991.0,2.956729090909091,0.0,0.0,0.0,0.0,0.0,total
34.0,34.0,148.51818181818183,67.73636363636363,594.1818181818181,788.6454545454545,794.5,794.5,1691056992.0,2.704032727272727,0.0,0.0,0.0,0.0,0.0,total
27.0,27.0,273.3818181818182,263.2909090909091,534.5090909090909,686.2636363636364,686.2636363636364,686.2636363636364,1691056993.0,2.475628181818182,0.0,0.0,0.0,0.0,0.0,total
22.454545454545453,22.454545454545453,276.8727272727273,70.34545454545454,910.1090909090909,1243.1454545454546,1252.5454545454545,1252.5454545454545,1691056994.0,2.5356254545454546,0.0,0.0,0.0,0.0,0.0,total
31.09090909090909,31.09090909090909,161.45454545454547,78.49090909090908,735.3727272727273,968.0090909090909,968.0090909090909,968.0090909090909,1691056995.0,2.541689090909091,0.0,0.0,0.0,0.0,0.0,total
28.818181818181817,28.818181818181817,148.85454545454547,66.36363636363636,602.5545454545455,744.5363636363636,751.5909090909091,751.5909090909091,1691056996.0,2.412309090909091,0.0,0.0,0.0,0.0,0.0,total
25.75,25.75,231.6833333333333,82.13333333333334,842.3083333333334,928.5416666666666,937.475,937.475,1691056997.0,2.21257,0.0,0.0,0.0,0.0,0.0,total
24.714285714285715,24.714285714285715,235.8785714285714,173.41428571428568,726.8214285714286,1050.2142857142858,1051.7714285714285,1051.7714285714285,1691056998.0,2.0518678571428572,0.0,0.0,0.0,0.0,0.0,total
33.5,33.5,188.77857142857144,74.83571428571429,593.1071428571429,920.1214285714286,921.1428571428571,921.1428571428571,1691056999.0,2.0003885714285716,0.0,0.0,0.0,0.0,0.0,total
29.428571428571427,29.428571428571427,168.50714285714284,85.83571428571429,469.7785714285714,765.6357142857142,766.4,766.4,1691057000.0,1.891047857142857,0.0,0.0,0.0,0.0,0.0,total
26.071428571428573,26.071428571428573,300.1928571428571,199.1214285714286,762.35,1258.6928571428573,1258.6928571428573,1258.6928571428573,1691057001.0,1.88901,0.0,0.0,0.0,0.0,0.0,total
33.92857142857143,33.92857142857143,215.70000000000002,159.12142857142857,609.2714285714286,908.8071428571429,908.8071428571429,908.8071428571429,1691057002.0,1.8827307142857144,0.0,0.0,0.0,0.0,0.0,total
33.42857142857143,33.42857142857143,166.60714285714286,72.89285714285714,456.8142857142857,860.1428571428571,860.5642857142857,860.5642857142857,1691057003.0,1.9255921428571428,0.0,0.0,0.0,0.0,0.0,total
27.357142857142858,27.357142857142858,184.22857142857143,93.56428571428572,572.4785714285714,925.6714285714287,925.6714285714287,925.6714285714287,1691057004.0,1.8606057142857142,0.0,0.0,0.0,0.0,0.0,total
26.357142857142858,26.357142857142858,203.54999999999998,109.63571428571427,730.5571428571428,1019.9285714285714,1020.0642857142857,1020.0642857142857,1691057005.0,3.543312142857143,0.0,0.0,0.0,0.0,0.0,total
35.642857142857146,35.642857142857146,140.37142857142857,68.75,541.4928571428571,900.9642857142857,900.9642857142857,900.9642857142857,1691057006.0,3.6185542857142856,0.0,0.0,0.0,0.0,0.0,total
26.666666666666668,26.666666666666668,169.19333333333333,77.61333333333333,544.6466666666666,703.2733333333333,703.2733333333333,703.2733333333333,1691057007.0,3.2554706666666666,0.0,0.0,0.0,0.0,0.0,total
31.133333333333333,31.133333333333333,151.14,104.06666666666666,499.14666666666665,798.5400000000001,805.0133333333334,805.0133333333334,1691057008.0,3.0317433333333335,0.0,0.0,0.0,0.0,0.0,total
39.333333333333336,39.333333333333336,141.95333333333335,73.99333333333334,498.76666666666665,923.68,927.7666666666667,927.7666666666667,1691057009.0,3.4230373333333333,0.0,0.0,0.0,0.0,0.0,total
37.8,37.8,108.6,77.52,339.15333333333336,531.7466666666667,561.1533333333333,561.1533333333333,1691057010.0,3.677862666666667,0.0,0.0,0.0,0.0,0.0,total
30.466666666666665,30.466666666666665,148.03333333333333,75.10666666666665,539.5866666666667,678.84,679.14,679.14,1691057011.0,3.582456,0.0,0.0,0.0,0.0,0.0,total
35.333333333333336,35.333333333333336,157.02,68.77333333333333,545.3066666666667,678.26,678.7933333333333,678.7933333333333,1691057012.0,2.943264,0.0,0.0,0.0,0.0,0.0,total
33.733333333333334,33.733333333333334,122.62666666666668,74.46666666666667,464.27333333333337,651.6466666666668,651.6466666666668,651.6466666666668,1691057013.0,2.8687913333333332,0.0,0.0,0.0,0.0,0.0,total
35.8,35.8,134.48,77.65333333333334,463.5866666666667,618.4666666666667,648.4533333333333,648.4533333333333,1691057014.0,-108.639588,0.0,0.0,0.0,0.0,0.0,total
30.2,30.2,157.5,76.66000000000001,552.14,707.2133333333334,713.6933333333333,713.6933333333333,1691057015.0,158.51237333333333,0.0,0.0,0.0,0.0,0.0,total
32.266666666666666,32.266666666666666,145.67333333333332,80.73333333333333,490.5466666666667,645.0733333333334,645.2666666666667,645.2666666666667,1691057016.0,60.099971333333336,0.0,0.0,0.0,0.0,0.0,total
34.0,34.0,132.28,78.61999999999999,474.75333333333333,647.9333333333333,648.7733333333333,648.7733333333333,1691057017.0,453.666644,0.0,0.0,0.0,0.0,0.0,total
34.0,34.0,140.73333333333332,75.04666666666667,482.7933333333333,745.02,745.02,745.02,1691057018.0,70.32101200000001,0.0,0.0,0.0,0.0,0.0,total
23.266666666666666,23.266666666666666,191.6,94.99333333333334,660.5933333333334,918.8533333333332,918.8533333333332,918.8533333333332,1691057019.0,21.405458,0.0,0.0,0.0,0.0,0.0,total
34.13333333333333,34.13333333333333,158.85333333333335,83.5,540.8666666666667,862.44,960.4133333333334,960.4133333333334,1691057020.0,18.083008000000003,0.0,0.0,0.0,0.0,0.0,total
33.333333333333336,33.333333333333336,148.46666666666667,73.65333333333334,538.74,920.9266666666666,920.9266666666666,920.9266666666666,1691057021.0,21.558917333333333,0.0,0.0,0.0,0.0,0.0,total
