time,avail
2023-12-25 13:32:34,13984.672
2023-12-25 13:32:33,13984.609
2023-12-25 13:32:32,13975.613
2023-12-25 13:32:31,13975.875
2023-12-25 13:32:30,13974.379
2023-12-25 13:32:29,13973.691
2023-12-25 13:32:28,13974.602
2023-12-25 13:32:27,13975.254
2023-12-25 13:32:26,13975.035
2023-12-25 13:32:25,13975.008
2023-12-25 13:32:24,13974.672
2023-12-25 13:32:23,13974.934
2023-12-25 13:32:22,13974.34
2023-12-25 13:32:21,13975.008
2023-12-25 13:32:20,13974.301
2023-12-25 13:32:19,13974.312
2023-12-25 13:32:18,13973.812
2023-12-25 13:32:17,13973.328
2023-12-25 13:32:16,13964.438
2023-12-25 13:32:15,13974.59
2023-12-25 13:32:14,13974.117
2023-12-25 13:32:13,13973.73
2023-12-25 13:32:12,13975.16
2023-12-25 13:32:11,13974.676
2023-12-25 13:32:10,13974.191
2023-12-25 13:32:09,13973.645
2023-12-25 13:32:08,13973.391
2023-12-25 13:32:07,13972.711
2023-12-25 13:32:06,13975.438
2023-12-25 13:32:05,13975.695
2023-12-25 13:32:04,13975.688
2023-12-25 13:32:03,13975.352
2023-12-25 13:32:02,13977.227
2023-12-25 13:32:01,13977.484
2023-12-25 13:32:00,13977.723
2023-12-25 13:31:59,13977.266
2023-12-25 13:31:58,13977.703
2023-12-25 13:31:57,13974.07
2023-12-25 13:31:56,13975.945
2023-12-25 13:31:55,13975.227
2023-12-25 13:31:54,13974.73
2023-12-25 13:31:53,13974.141
2023-12-25 13:31:52,13974.719
2023-12-25 13:31:51,13975.211
2023-12-25 13:31:50,13975.473
2023-12-25 13:31:49,13962.891
2023-12-25 13:31:48,13975.434
2023-12-25 13:31:47,13976.348
2023-12-25 13:31:46,13974.859
2023-12-25 13:31:45,13974.629
2023-12-25 13:31:44,13974.16
2023-12-25 13:31:43,13974.402
2023-12-25 13:31:42,13976.852
2023-12-25 13:31:41,13976.965
2023-12-25 13:31:40,13975.871
2023-12-25 13:31:39,13975.387
2023-12-25 13:31:38,13975.098
2023-12-25 13:31:37,13975.176
2023-12-25 13:31:36,13975.82
2023-12-25 13:31:35,13976.137
2023-12-25 13:31:34,13975.84
2023-12-25 13:31:33,13976.031
2023-12-25 13:31:32,13975.027
2023-12-25 13:31:31,13975.32
2023-12-25 13:31:30,13973.379
2023-12-25 13:31:29,13973.215
2023-12-25 13:31:28,13973
2023-12-25 13:31:27,13973.617
2023-12-25 13:31:26,13973.137
2023-12-25 13:31:25,13973.094
2023-12-25 13:31:24,13973.43
2023-12-25 13:31:23,13973
2023-12-25 13:31:22,13976.594
2023-12-25 13:31:21,13976.824
2023-12-25 13:31:20,13976.613
2023-12-25 13:31:19,13975.812
2023-12-25 13:31:18,13976.066
2023-12-25 13:31:17,13976.332
2023-12-25 13:31:16,13976.77
2023-12-25 13:31:15,13975.664
2023-12-25 13:31:14,13975.527
2023-12-25 13:31:13,13972.969
2023-12-25 13:31:12,13975.207
2023-12-25 13:31:11,13974.828
2023-12-25 13:31:10,13974.895
2023-12-25 13:31:09,13972.324
2023-12-25 13:31:08,13973.035
2023-12-25 13:31:07,13973.102
2023-12-25 13:31:06,13974.121
2023-12-25 13:31:05,13973.367
2023-12-25 13:31:04,13973.434
2023-12-25 13:31:03,13973.422
2023-12-25 13:31:02,13975.41
2023-12-25 13:31:01,13975.469
2023-12-25 13:31:00,13975.484
2023-12-25 13:30:59,13974.5
2023-12-25 13:30:58,13974.504
2023-12-25 13:30:57,13973.391
2023-12-25 13:30:56,13975.008
2023-12-25 13:30:55,13974.258
2023-12-25 13:30:54,13973.488
2023-12-25 13:30:53,13964.629
2023-12-25 13:30:52,13974.137
2023-12-25 13:30:51,13973.957
2023-12-25 13:30:50,13974.566
2023-12-25 13:30:49,13974.414
2023-12-25 13:30:48,13975.227
2023-12-25 13:30:47,13975.359
2023-12-25 13:30:46,13975.855
2023-12-25 13:30:45,13975.602
2023-12-25 13:30:44,13975.359
2023-12-25 13:30:43,13975.457
2023-12-25 13:30:42,13974.75
2023-12-25 13:30:41,13974.965
2023-12-25 13:30:40,13975.73
2023-12-25 13:30:39,13975.84
2023-12-25 13:30:38,13975.551
2023-12-25 13:30:37,13976.707
2023-12-25 13:30:36,13974.867
2023-12-25 13:30:35,13975.246
2023-12-25 13:30:34,13974.547
2023-12-25 13:30:33,13974.547
2023-12-25 13:30:32,13975.461
2023-12-25 13:30:31,13975.715
2023-12-25 13:30:30,13973.762
2023-12-25 13:30:29,13975.043
2023-12-25 13:30:28,13974.051
2023-12-25 13:30:27,13973.664
2023-12-25 13:30:26,13967.645
2023-12-25 13:30:25,13976.297
2023-12-25 13:30:24,13976.543
2023-12-25 13:30:23,13975.531
2023-12-25 13:30:22,13977.094
2023-12-25 13:30:21,13977.281
2023-12-25 13:30:20,13977.805
2023-12-25 13:30:19,13976.531
2023-12-25 13:30:18,13976.742
2023-12-25 13:30:17,13976.098
2023-12-25 13:30:16,13977.023
2023-12-25 13:30:15,13975.59
2023-12-25 13:30:14,13975.07
2023-12-25 13:30:13,13974.898
2023-12-25 13:30:12,13974.891
2023-12-25 13:30:11,13974.914
2023-12-25 13:30:10,13975.266
2023-12-25 13:30:09,13975.422
2023-12-25 13:30:08,13975.297
2023-12-25 13:30:07,13975.453
2023-12-25 13:30:06,13975.445
2023-12-25 13:30:05,13977.215
2023-12-25 13:30:04,13977.207
2023-12-25 13:30:03,13976.195
2023-12-25 13:30:02,13978.055
2023-12-25 13:30:01,13977.484
2023-12-25 13:30:00,13977.5
2023-12-25 13:29:59,13975.773
2023-12-25 13:29:58,13976.246
2023-12-25 13:29:57,13965.668
2023-12-25 13:29:56,13977.238
2023-12-25 13:29:55,13977.188
2023-12-25 13:29:54,13982.645
2023-12-25 13:29:53,13982.637
2023-12-25 13:29:52,13982.398
2023-12-25 13:29:51,13982.352
2023-12-25 13:29:50,13983.133
2023-12-25 13:29:49,13983.426
2023-12-25 13:29:48,13982.16
2023-12-25 13:29:47,13981.934
2023-12-25 13:29:46,13983.633
2023-12-25 13:29:45,13983.109
2023-12-25 13:29:44,13982.402
2023-12-25 13:29:43,13983.785
2023-12-25 13:29:42,13982.797
2023-12-25 13:29:41,13982.781
2023-12-25 13:29:40,13981.688
2023-12-25 13:29:39,13982.281
2023-12-25 13:29:38,13982.121
2023-12-25 13:29:37,13982.5
2023-12-25 13:29:36,13983.297
2023-12-25 13:29:35,13983.297
2023-12-25 13:29:34,13983.828
2023-12-25 13:29:33,13983.848
2023-12-25 13:29:32,13985.613
2023-12-25 13:29:31,13985.883
2023-12-25 13:29:30,13971.871
2023-12-25 13:29:29,13981.699
2023-12-25 13:29:28,13981.723
2023-12-25 13:29:27,13981.977
2023-12-25 13:29:26,13983.543
2023-12-25 13:29:25,13982.523
2023-12-25 13:29:24,13982.887
2023-12-25 13:29:23,13981.664
2023-12-25 13:29:22,13982.832
2023-12-25 13:29:21,13981.672
2023-12-25 13:29:20,13982.301
2023-12-25 13:29:19,13981.609
2023-12-25 13:29:18,13981.43
2023-12-25 13:29:17,13980.664
2023-12-25 13:29:16,13981.66
2023-12-25 13:29:15,13982.602
2023-12-25 13:29:14,13983.055
2023-12-25 13:29:13,13980.656
2023-12-25 13:29:12,13982.543
2023-12-25 13:29:11,13982.273
2023-12-25 13:29:10,13983.012
2023-12-25 13:29:09,13982.398
2023-12-25 13:29:08,13982.801
2023-12-25 13:29:07,13980.812
2023-12-25 13:29:06,13983.566
2023-12-25 13:29:05,13983.285
2023-12-25 13:29:04,13983.086
2023-12-25 13:29:03,13977.742
2023-12-25 13:29:02,13981.836
2023-12-25 13:29:01,13981.633
2023-12-25 13:29:00,13982.336
2023-12-25 13:28:59,13982.297
2023-12-25 13:28:58,13982.352
2023-12-25 13:28:57,13982.359
2023-12-25 13:28:56,13981.059
2023-12-25 13:28:55,13982.238
2023-12-25 13:28:54,13981.492
2023-12-25 13:28:53,13981.047
2023-12-25 13:28:52,13981.465
2023-12-25 13:28:51,13981.219
2023-12-25 13:28:50,13982.305
2023-12-25 13:28:49,13982.012
2023-12-25 13:28:48,13981.816
2023-12-25 13:28:47,13981.992
2023-12-25 13:28:46,13980.879
2023-12-25 13:28:45,13980.699
2023-12-25 13:28:44,13980.262
2023-12-25 13:28:43,13980.262
2023-12-25 13:28:42,13981.211
2023-12-25 13:28:41,13982.145
2023-12-25 13:28:40,13981.902
2023-12-25 13:28:39,13981.832
2023-12-25 13:28:38,13981.098
2023-12-25 13:28:37,13981.008
2023-12-25 13:28:36,13974.195
2023-12-25 13:28:35,13981.52
2023-12-25 13:28:34,13981.871
2023-12-25 13:28:33,13980.859
2023-12-25 13:28:32,13983.902
2023-12-25 13:28:31,13982.566
2023-12-25 13:28:30,13983.867
2023-12-25 13:28:29,13983.133
2023-12-25 13:28:28,13982.957
2023-12-25 13:28:27,13981.34
2023-12-25 13:28:26,13982.645
2023-12-25 13:28:25,13982.57
2023-12-25 13:28:24,13982.762
2023-12-25 13:28:23,13981.16
2023-12-25 13:28:22,13982.414
2023-12-25 13:28:21,13981.848
